Method,Recall@1,NDCG@1,IntentMatch@1,CountryMatch@1,VarietyMatch@1,Recall@5,NDCG@5,IntentMatch@5,CountryMatch@5,VarietyMatch@5,Recall@10,NDCG@10,IntentMatch@10,CountryMatch@10,VarietyMatch@10,MRR,Latency_ms,ExactMatch(EM),VintageMatch@1,ROUGE_L,ResultType
BM25,0.0362005978080371,0.0362005978080371,0.3986217203586848,0.6560112919295915,0.560112919295915,0.1190634340750581,0.0774489248056273,0.7358020591165726,0.934241115908336,0.9695283958817668,0.1841580870142809,0.0985240190526499,0.8273829292593823,0.9634672866157424,0.9941879774161408,0.0725434649670783,253.6246971369819,,,,
BM25+ Enhanced,0.0684988375954832,0.0684988375954832,0.898040518100299,0.9542510793756228,0.9435403520425109,0.2092328130189306,0.1382887315617912,0.98414148123547,0.995599468615078,0.9984224510129523,0.3104450348721355,0.170582608468186,0.998090335436732,0.999418797741614,0.9995018266356692,0.1282501858265724,352.99718672949706,,,,
TF-IDF CF,0.0293091996014613,0.0293091996014613,0.5026569246097642,0.6621554300896713,0.7581368316174029,0.1008801062769843,0.0653982464144845,0.7608767851212221,0.885420126203919,0.9419628030554632,0.1473762869478578,0.0802498804852464,0.8142643639986715,0.9322484224510128,0.9629691132514115,0.0598171453348304,1.3954199971807475,,,,
TF-IDF + LSA,0.0071404848887412,0.0071404848887412,0.4421288608435735,0.7304882098970442,0.6872301560943208,0.0416805048156758,0.0242311120607171,0.6298571903022252,0.8502989040185984,0.7778146795084689,0.077216871471272,0.0355813846008508,0.6963633344403852,0.8856692128860844,0.8102789770840252,0.0231554406330228,0.5178295350557781,,,,
Hybrid BM25+TF-IDF,0.0363666555961474,0.0363666555961474,0.4036034540019927,0.6604948522085686,0.5584523414148124,0.122799734307539,0.0793432547343992,0.7376286947857854,0.9212886084357356,0.9706077715044836,0.1872301560943208,0.1002271614644179,0.8338591829956825,0.975340418465626,0.9808203254732648,0.0738042521337107,251.4685492941566,,,,
Popularity-Based,0.0132015941547658,0.0132015941547658,0.4728495516439721,0.8484722683493856,0.5587014280969778,0.0593656592494188,0.0368165368972035,0.4729325805380272,0.8484722683493856,0.5587844569910329,0.1106775157754898,0.0531981964706201,0.4735968116904683,0.8484722683493856,0.5594486881434739,0.0360426781694632,0.0574343705723666,,,,
Random Baseline,8.302889405513119e-05,8.302889405513119e-05,0.0080538027233477,0.1568415808701428,0.0357854533377615,0.0003321155762205,0.000183027413861,0.0337927598804383,0.4406343407505812,0.1587512454334108,0.0008302889405513,0.0003404610085864,0.0621056127532381,0.5868482231816672,0.2651112587180338,0.0001998294612874,0.0038693134114022,,,,
Struct-Filter TF-IDF,0.0451677183659913,0.0451677183659913,0.8243108601793424,0.9522583859182996,0.8551976087678512,0.1583361009631351,0.1023974527735917,0.8819329126536034,0.9793258053802724,0.9093324476917968,0.245599468615078,0.1305913891359355,0.894304217867818,0.9859681169046828,0.9184656260378612,0.0956825963530546,85.9416771948595,,,,
Struct-Filter BM25,0.0518930587844569,0.0518930587844569,0.8433244769179674,0.9482729990036532,0.8629192959149784,0.1569246097641979,0.1043407102473179,0.906343407505812,0.9899535038193292,0.928512122218532,0.2602955828628362,0.1380490363036929,0.9125705745599468,0.993108601793424,0.9315011624045167,0.1012422374573653,85.09839273932288,,,,
Struct-Filter+Price,0.0451677183659913,0.0451677183659913,0.8243108601793424,0.9522583859182996,0.8551976087678512,0.1583361009631351,0.1023974527735917,0.8819329126536034,0.9793258053802724,0.9093324476917968,0.245599468615078,0.1305913891359355,0.894304217867818,0.9859681169046828,0.9184656260378612,0.0956825963530546,86.63100647554172,,,,
GNN-Filter,0.0,,0.0211723679840584,,,0.0,,0.0630189305878445,,,0.0002490866821653,,0.1056127532381268,,,2.767629801837706e-05,38.53727739117836,,,,
LLM-LoRA (Proposed),0.8,0.8,1.0,1.0,1.0,0.8,0.8,1.0,,,0.8,0.8,1.0,,,0.8,5.375123023986816,0.8,0.8,0.17822569190152254,real_colab
